old	new	source
active-macro-mapping-table-macros	eseq.macros/active-macro-mapping-table-macros	content/ui/macros.lisp
agent-current-conv	eseq.agent/agent-current-conv	content/ui/agent.lisp
agent-open	eseq.agent/agent-open	content/ui/agent.lisp
agent-submit-current	eseq.agent/agent-submit-current	content/ui/agent.lisp
aqua-color	eseq.materials/color	content/ui/materials.lisp
aqua-slider-material	eseq.materials/slider-material	content/ui/materials.lisp
aqua-slider-muted-material	eseq.materials/slider-muted-material	content/ui/materials.lisp
aqua-slider-track-material	eseq.materials/slider-track-material	content/ui/materials.lisp
aqua-slider-track-muted-material	eseq.materials/slider-track-muted-material	content/ui/materials.lisp
arrangement-channel	eseq.arrangement/channel	content/ui/arrangement.lisp
arrangement-clip-color	eseq.arrangement/clip-color	content/ui/arrangement.lisp
arrangement-clip-cycle	eseq.arrangement/clip-cycle	content/ui/arrangement.lisp
arrangement-clip-sound-dot	eseq.arrangement/clip-sound-dot	content/ui/arrangement.lisp
arrangement-content-length	eseq.arrangement/content-length	content/ui/arrangement.lisp
arrangement-content-length-min	eseq.arrangement/content-length-min	content/ui/arrangement.lisp
arrangement-cursor-time	eseq.arrangement/cursor-time	content/ui/arrangement.lisp
arrangement-cursor-track	eseq.arrangement/cursor-track	content/ui/arrangement.lisp
arrangement-drop-scene	eseq.arrangement/drop-scene	content/ui/arrangement.lisp
arrangement-ghost	eseq.arrangement/ghost	content/ui/arrangement.lisp
arrangement-lane-cursor-time	eseq.arrangement/lane-cursor-time	content/ui/arrangement.lisp
arrangement-lane-pattern-events	eseq.arrangement/lane-pattern-events	content/ui/arrangement.lisp
arrangement-lane-region-rect	eseq.arrangement/lane-region-rect	content/ui/arrangement.lisp
arrangement-lane-selection	eseq.arrangement/lane-selection	content/ui/arrangement.lisp
arrangement-pattern-dots	eseq.arrangement/pattern-dots	content/ui/arrangement.lisp
arrangement-region-ghost	eseq.arrangement/region-ghost	content/ui/arrangement.lisp
arrangement-region-other-track	eseq.arrangement/region-other-track	content/ui/arrangement.lisp
arrangement-scene-action	eseq.arrangement/scene-action	content/ui/arrangement.lisp
arrangement-scene-items	eseq.arrangement/scene-items	content/ui/arrangement.lisp
